sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
170,121.249756,-28.592285,143.70996,-1.2285156,102.68274,39.461914,106.49864,-11.17395,25.239258
171,129.979,-29.784424,145.54004,-6.875,104.507324,42.442383,76.41345,-22.311981,7.0820312
172,138.13452,-17.812256,145.03027,-10.555664,87.82776,20.958496,31.844685,-49.935944,-26.427002
173,149.69775,-5.559326,154.13867,2.2705078,90.99927,16.671387,43.268017,-46.739197,-18.293945
174,154.68433,-5.14917,158.6084,7.8671875,90.24719,31.760254,77.97572,-27.727356,12.522705
175,150.26807,-13.93335,159.41504,23.036133,96.31958,52.623535,87.65192,-16.11557,19.764404
176,136.31128,-28.006592,148.50195,0.29882812,94.10852,51.725586,61.39822,-27.272888,-1.3271484
177,129.6018,-32.695557,141.42188,-13.246094,89.42297,37.52832,52.131023,-37.38965,-10.056885
178,136.47974,-23.051514,151.86133,-5.8623047,89.635864,17.708984,61.60924,-39.481018,-3.7297363
179,143.22827,-22.348145,162.21387,9.688477,87.52246,13.555664,52.39356,-42.111847,-8.665039
180,147.05908,-22.139893,153.44727,3.3789062,80.56836,18.964355,31.454556,-59.779755,-24.29956
181,129.46118,-42.304443,140.9414,-17.657227,85.046265,29.379395,36.835766,-55.01837,-20.131348
182,131.61523,-38.604492,144.63574,-16.589844,96.08435,30.81543,70.24719,-26.890808,1.434082
183,146.52515,-24.157959,161.62695,2.3271484,107.202515,36.41797,96.90622,-12.046539,25.69043
184,138.45093,-37.58374,148.1123,-5.578125,84.35571,20.176758,52.748547,-47.870483,-13.84668
185,145.0393,-34.39258,147.48926,-13.004883,78.17981,10.641113,10.882771,-76.448,-45.894287
186,153.72559,-23.824219,144.22461,-14.036133,79.32654,10.6796875,12.201221,-73.25067,-39.700684
187,132.09033,-40.40796,152.71484,-17.83789,91.07654,13.796875,65.347885,-36.848328,-5.1777344
188,125.515625,-48.802734,148.24805,-10.719727,86.99341,16.318848,76.519775,-33.396423,-1.706543
